,datetime,open,high,low,close,volume,ema1,ema2,signal
0,2022-07-11 04:00:00,25.461,25.506,25.208,25.326,2362200.9245,,,0
1,2022-07-11 08:00:00,25.326,25.563,25.29,25.362,1588762.5254,,,0
2,2022-07-11 12:00:00,25.362,25.662,25.042,25.593,6234196.9081,,,0
3,2022-07-11 16:00:00,25.593,25.924,25.522,25.742,2513089.2552,,,0
4,2022-07-11 20:00:00,25.742,25.801,24.792,24.962,3633560.0604,25.340222222222224,,0
5,2022-07-12 00:00:00,24.962,25.004,24.713,24.852,2693662.7977,25.177481481481482,,0
6,2022-07-12 04:00:00,24.852,25.102,24.42,24.559,1997973.3501,24.971320987654323,,0
7,2022-07-12 08:00:00,24.559,24.63,24.225,24.488,2571372.4271,24.81021399176955,,0
8,2022-07-12 12:00:00,24.488,24.843,24.415,24.661,1814735.2509,24.760475994513037,,0
9,2022-07-12 16:00:00,24.661,24.933,23.885,23.981,1971273.8569,24.50065066300869,24.777186603328254,0
10,2022-07-12 20:00:00,23.981,24.153,23.785,23.846,1630950.6815,24.28243377533913,24.60787994817766,0
11,2022-07-13 00:00:00,23.846,24.159,23.757,24.017,1433919.8933,24.19395585022609,24.500447230327175,0
12,2022-07-13 04:00:00,24.017,24.45,23.968,24.353,1567711.0843,24.246970566817396,24.47363864299496,0
13,2022-07-13 08:00:00,24.353,24.575,24.299,24.536,1364896.221,24.3433137112116,24.48497707154133,0
14,2022-07-13 12:00:00,24.536,24.791,23.23,23.962,8335420.642,24.216209140807734,24.389890331261086,0
15,2022-07-13 16:00:00,23.962,24.548,23.738,24.156,2291890.3833,24.196139427205157,24.34736481648634,0
16,2022-07-13 20:00:00,24.156,24.999,24.104,24.962,1605378.9494,24.45142628480344,24.459116668034277,0
17,2022-07-14 00:00:00,24.962,25.341,24.9,25.206,2641672.8213,24.70295085653563,24.594913637482588,1
18,2022-07-14 04:00:00,25.206,25.412,25.0,25.055,1990564.1325,24.820300571023754,24.678565703394842,0
