,datetime,open,high,low,close,volume,rsi
84,2022-07-29,0.9997,0.9998,0.9996,0.9997,835132800.0,30.185767458839365
85,2022-07-30,0.9996,0.9998,0.9996,0.9997,545195188.0,30.185767458839365
86,2022-07-31,0.9998,0.9998,0.9996,0.9996,645795745.0,28.058953178677015
87,2022-08-01,0.9996,0.9999,0.9996,0.9998,746155365.0,37.53787193687721
88,2022-08-02,0.9997,0.9999,0.9996,0.9999,777521813.0,41.67582304259169
89,2022-08-03,0.9999,0.9999,0.9997,0.9998,413366344.0,38.90053039880775
90,2022-08-04,0.9997,1.0,0.9997,1.0,639060387.0,46.56473740368549
91,2022-08-05,0.9999,1.0,0.9998,0.9999,430983123.0,43.61857967780456
92,2022-08-06,0.9999,1.0,0.9998,0.9998,329209800.0,40.83612533411098
93,2022-08-07,0.9998,0.9999,0.9998,0.9998,211092659.0,40.83612533411098
94,2022-08-08,0.9999,0.9999,0.9997,0.9998,542576482.0,40.83612533411099
95,2022-08-09,0.9998,0.9999,0.9997,0.9998,550047113.0,40.83612533411099
96,2022-08-10,0.9997,0.9999,0.9993,0.9998,1004632995.0,40.83612533411099
97,2022-08-11,0.9997,0.9998,0.9995,0.9996,941386551.0,34.466583731057824
98,2022-08-12,0.9995,0.9998,0.9995,0.9996,465617175.0,34.466583731057824
99,2022-08-13,0.9996,0.9997,0.9994,0.9994,241519316.0,29.186765348026128
