,datetime,open,high,low,close,volume,rsi
48,2022-06-03,27.118,27.28,25.738,25.944,13293588.7025,34.127432929099925
49,2022-06-04,25.944,26.014,25.521,25.958,7236666.3496,34.196433023873695
50,2022-06-05,25.958,26.378,25.617,26.117,7183967.9562,35.02880930601495
51,2022-06-06,26.117,27.6,26.103,27.346,20451285.4243,41.21826042354937
52,2022-06-07,27.346,27.423,25.14,27.046,21197646.9092,40.211252320000554
53,2022-06-08,27.046,28.43,26.457,28.084,13920627.2408,45.199927441652484
54,2022-06-09,28.084,29.098,27.914,28.505,13446374.7097,47.12687617760751
55,2022-06-10,28.505,28.665,27.262,27.548,13778552.9622,43.39170691371635
56,2022-06-11,27.548,28.035,26.525,27.434,14553266.7437,42.9549573070709
57,2022-06-12,27.434,29.263,26.591,27.921,37925433.5657,45.479564957350206
58,2022-06-13,27.921,28.1,23.811,24.435,53543291.7792,33.910598851280525
59,2022-06-14,24.435,24.694,22.246,23.936,36358677.0895,32.631020881321774
60,2022-06-15,23.936,25.515,21.0,25.495,40921250.4626,40.220528777407544
61,2022-06-16,25.495,25.88,22.966,23.259,13924689.5326,34.259221500921655
62,2022-06-17,23.259,25.047,23.108,24.33,10382539.0054,38.928349146984964
63,2022-06-18,24.33,24.686,21.06,22.776,16416920.527,35.03962948049494
64,2022-06-19,22.776,25.396,21.677,25.003,14434345.1171,43.716716647043995
65,2022-06-20,25.003,26.881,23.936,26.655,30922939.5179,49.14354471551048
66,2022-06-21,26.655,28.17,26.36,27.348,19300792.7269,51.26631858435604
67,2022-06-22,27.348,27.374,25.069,25.158,29344246.3528,44.88957821626244
68,2022-06-23,25.158,26.442,25.051,26.316,12948392.6844,48.53484262965997
69,2022-06-24,26.316,27.1,25.375,26.707,12806202.7168,49.74360114925047
70,2022-06-25,26.707,28.021,26.16,27.88,20333981.8896,53.288136971791204
71,2022-06-26,27.88,28.95,27.113,27.159,16330472.3707,50.91127525487664
72,2022-06-27,27.159,28.04,26.558,27.166,22651204.1883,50.93415757711173
73,2022-06-28,27.166,27.767,25.522,25.583,37079611.0815,45.741428882059544
74,2022-06-29,25.583,25.837,24.569,24.833,17936316.0945,43.479712218191395
75,2022-06-30,24.833,24.911,23.05,24.575,18244392.824,42.69758940575337
76,2022-07-01,24.576,25.5,23.963,24.558,19425762.4212,42.64315774964894
77,2022-07-02,24.558,24.773,24.023,24.576,6441647.6457,42.726412848968565
78,2022-07-03,24.576,24.63,23.709,24.35,9442938.2153,41.9039780447791
79,2022-07-04,24.35,26.004,23.916,25.895,17987051.9289,49.11503980615003
80,2022-07-05,25.895,26.2,24.4,25.132,24051452.7931,46.073557436001366
81,2022-07-06,25.131,26.473,24.75,26.241,34057209.0993,50.83879957549397
82,2022-07-07,26.241,27.744,25.934,27.414,35262193.6367,55.33458641014425
83,2022-07-08,27.415,28.25,26.807,27.338,22710072.3986,54.983739409334504
84,2022-07-09,27.338,27.66,27.053,27.104,10025881.1813,53.85158276185672
85,2022-07-10,27.104,27.112,25.594,25.865,12070195.5104,48.19313210687185
86,2022-07-11,25.865,25.924,24.792,24.962,18492598.4061,44.52141551629937
87,2022-07-12,24.962,25.102,23.785,23.846,12679968.3642,40.42250574280151
88,2022-07-13,23.846,24.999,23.23,24.962,16599217.1733,45.79665998367821
89,2022-07-14,24.962,26.223,24.419,25.878,16974003.7695,49.79936056902189
90,2022-07-15,25.878,27.378,25.657,26.775,17700405.2638,53.42637087267504
91,2022-07-16,26.771,28.498,26.333,27.989,16606760.0612,57.86356339829295
92,2022-07-17,27.989,28.76,27.4,27.606,14940170.9968,56.049288601379175
93,2022-07-18,27.606,30.121,27.606,29.868,34101514.7876,63.35680412319482
94,2022-07-19,29.868,30.335,27.979,29.132,39084061.4886,59.86882050451386
95,2022-07-20,29.132,30.288,28.408,28.771,21753446.3423,58.177029210674434
96,2022-07-21,28.771,29.775,27.725,29.48,16609502.7052,60.535735235840725
97,2022-07-22,29.48,30.541,28.633,28.91,31445712.9685,57.71748445289846
98,2022-07-23,28.91,29.734,27.749,28.511,23061445.0662,55.76054430712725
99,2022-07-24,28.511,29.522,28.34,29.414,10297507.6881,59.13727920568741
